title,media-type,format,platform,publisher,gameid,creator,date,objectid,filename,language,description,franchise,genre,rights,youtube-link,internetarchivelink,,,,,,,,
Sonic the Hedgehog Manual ,Manual ,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog ,Sega of America ,1991; 1992,sgsthm.pdf,SgSTHm.pdf,English,"This is the instruction manual for Sonic the Hedgehog. It lists the general premise and story of the game, how to control, objectives and tips for how to play. The US version is interesting because the story is slightly different compared to it's Japanese counterpart. ",Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=BETxNmSMNMc&list=PLDgypNs3MY2RnGoNdlFNuRYBIsjVHRkax&index=1,https://archive.org/details/sonic1_bin, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=BETxNmSMNMc&list=PLDgypNs3MY2RnGoNdlFNuRYBIsjVHRkax&index=1,https://archive.org/details/sonic1_bin,,,,
Caesar's Palace Manual ,Manual ,application/pdf,Sega Genesis ,Virgin Interactive ,Caesar's Palace,Cathie A. Todd;Michael Winfield;Lisa Marcinko,1993,sgcpm.pdf,SgCPm.pdf,English,"This is the instruction manual for Caesar's Palace. It lists the general premise and story of the game, how to control, objectives and tips for how to play. This particular manual is missing it's front and back covers. ",Caesar's Palace ,Gambling,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Mg0W1kE_pzs,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Mg0W1kE_pzs,,,,,
Sonic the Hedgehog 3 Manual ,Manual ,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog 3,Jason R. Rich ,1994,sgsth3m.pdf,SgSTH3m.pdf,English,"This is the instruction manual for Sonic the Hedgehog 3. It lists the general premise and story of the game, how to control, objectives and tips for how to play. This manual's cover is in black and white compared to the others which are in color. ",Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Q260BqrWHgo,https://archive.org/details/sonic_bin, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Q260BqrWHgo,https://archive.org/details/sonic_bin,,,,,
Sonic CD Manual ,Manual ,application/pdf,Sega Genesis/CD,Sega,Sonic CD,Sega of America ,1993,sgscdm.pdf,SgSCDm.pdf,English,"This is the instruction manual for Sonic CD. It lists the general premise and story of the game, how to control, objectives and tips for how to play. The English manual has a type in which the character of Amy Rose is mistakenly labeled as Princess Sally. ",Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=ct6hfxnShDE,, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=ct6hfxnShDE,,,,,,
Sonic Adventure Box Art,Box Art,application/pdf,Sega Dreamcast,Sega,Sonic Adventure ,Sega of America;Yuji Uekawa,1999,dcsab.pdf,DcSAb.pdf,English,This is the packaging and accompanying box artwork for Sonic Adventure . It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual. Dreamcast games use the instruction manuals as the front box art.,Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,,,,,
Sega Sports World Series Baseball 2K2 Box Art,Box Art,application/pdf,Sega Dreamcast,Sega,Sega Sports World Series Baseball 2K2,Sega of America ,2001,dcsswsb2k2b.pdf,DcSSWSB2K2b.pdf,English,This is the packaging and accompanying box artwork for Sega Sports World Series Baseball 2K2. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual. Dreamcast games use the instruction manuals as the front box art.,Sega Sports ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=mUI-xjEOUT0,,https://www.youtube.com/watch?v=mUI-xjEOUT0,,,,,,,
Sega Marine Fishing Box Art,Box Art,application/pdf,Sega Dreamcast,Sega,Sega Marine Fishing ,Sega of America ,2000,dcsmfb.pdf,DcSMFb.pdf,English,This is the packaging and accompanying box artwork for Sega Marine Fishing . It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual. Dreamcast games use the instruction manuals as the front box art. The back of this box notes that this game is compatiple with a unique fishing controller that has a mechanical reel built into the controller. ,Sega Fishing ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=VcxBIWb3a1g,,https://www.youtube.com/watch?v=VcxBIWb3a1g,,,,,,,
Sonic Adventure 2 Box Art,Box Art,application/pdf,Sega Dreamcast,Sega,Sonic Adventure 2 ,Sega of America;Yuji Uekawa,2001,dcsa2b.pdf,DcSA2b.pdf,English,This is the packaging and accompanying box artwork for Sonic Adventure 2. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual. Dreamcast games use the instruction manuals as the front box art. This partciular copy of the game features an autograph from one of the band members that wrote music for the game. ,Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,,,,,
Phantasy Star Online Ver. 2 Box Art,Box Art,application/pdf,Sega Dreamcast,Sega,Phantasy Star Online Ver. 2 ,Sega of America,2001,dcpsob.pdf,DcPSOb.pdf,English,This is the packaging and accompanying box artwork for Phantasy Star Online Ver. 2. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual. Dreamcast games use the instruction manuals as the front box art.,Phantasy Star ,Massively Multiplayer Online RPG,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=XcLXOMNIsqE; https://www.youtube.com/watch?v=cnaRFgT8WjY ,,https://www.youtube.com/watch?v=XcLXOMNIsqE, https://www.youtube.com/watch?v=cnaRFgT8WjY ,,,,,,
Sonic Adventure Disc,Disc,image/jpeg,Sega Dreamcast,Sega,Sonic Adventure ,Sega of America;Yuji Uekawa,1999,dcsad.jpg,DcSAd.jpg,English,This is the optical storage disc for Sonic Adventure. The game is stored on this disc and loaded into the system to play.,Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,,,,,
